id_penjualan,id_invoice,tanggal,id_barang,nama_barang,harga,unit,jumlah_barang,total_harga_perbarang,mata_uang,kode_brand,brand,id_customer,nama_customer,cabang_sales,id_distributor,group_category
"IN5997 BRG0001",IN5997,20/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,1,1169,IDR,206,"OGB & PH",CUST55380,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6297 BRG0002",IN6297,20/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,5,11685,IDR,203,ETIKAL,CUST55381,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6155 BRG0003",IN6155,21/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,9,96210,IDR,210,MARCKS,CUST55382,"KLINIK GM",Jakarta,TA,Klinik
"IN6144 BRG0004",IN6144,22/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,13,113100,IDR,201,VNS,CUST55383,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6280 BRG0005",IN6280,23/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,1,5648,IDR,203,SLCYL,CUST55384,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6052 BRG0006",IN6052,23/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,5,14095,IDR,205,"OGB & PH",CUST55385,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6089 BRG0007",IN6089,25/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,9,41328,IDR,206,ETIKAL,CUST55386,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6251 BRG0008",IN6251,23/01/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,1,3991,IDR,204,MARCKS,CUST55387,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6036 BRG0009",IN6036,27/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,23,132940,IDR,207,VNS,CUST55388,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6029 BRG0010",IN6029,28/01/2022,BRG0010,PARACETAMOL,"6940,3",DUS,4,27760,IDR,208,SLCYL,CUST55389,"KLINIK GM",Jakarta,TA,Klinik
"IN6190 BRG0001",IN6190,23/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,2,2338,IDR,206,"OGB & PH",CUST55390,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6287 BRG0002",IN6287,30/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,17,39729,IDR,203,ETIKAL,CUST55391,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6102 BRG0003",IN6102,31/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,11,117590,IDR,210,MARCKS,CUST55392,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6301 BRG0004",IN6301,01/02/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,12,104400,IDR,201,VNS,CUST55393,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6024 BRG0005",IN6024,27/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,12,67776,IDR,203,SLCYL,CUST55394,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6184 BRG0006",IN6184,28/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,25,70475,IDR,205,"OGB & PH",CUST55395,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6307 BRG0007",IN6307,23/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,14,64288,IDR,206,ETIKAL,CUST55396,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6245 BRG0008",IN6245,30/01/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,34,135694,IDR,204,MARCKS,CUST55397,"KLINIK GM",Jakarta,TA,Klinik
"IN6195 BRG0009",IN6195,31/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,67,387260,IDR,207,VNS,CUST55398,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6023 BRG0010",IN6023,01/02/2022,BRG0010,PARACETAMOL,"6940,3",DUS,15,104100,IDR,208,SLCYL,CUST55399,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6113 BRG0001",IN6113,27/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,12,14028,IDR,206,"OGB & PH",CUST55400,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6141 BRG0002",IN6141,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,25,58425,IDR,203,ETIKAL,CUST55401,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6125 BRG0003",IN6125,23/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,14,149660,IDR,210,MARCKS,CUST55402,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6176 BRG0004",IN6176,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,18,156600,IDR,201,VNS,CUST55403,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6175 BRG0005",IN6175,31/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,18,101664,IDR,203,SLCYL,CUST55404,"KLINIK GM",Jakarta,TA,Klinik
"IN6259 BRG0006",IN6259,01/02/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,19,53561,IDR,205,"OGB & PH",CUST55405,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6173 BRG0001",IN6173,27/01/2022,BRG0001,"ACYCLOVIR DUS","4592,1",DUS,12,55104,IDR,206,"OGB & PH",CUST55406,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6013 BRG0002",IN6013,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","3991,9",DUS,25,99775,IDR,203,ETIKAL,CUST55407,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6086 BRG0003",IN6086,23/01/2022,BRG0003,AMPICILLIN,"5780,7",DUS,14,80920,IDR,210,MARCKS,CUST55408,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6108 BRG0004",IN6108,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","6940,3",DUS,21,145740,IDR,201,VNS,CUST55409,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6321 BRG0001",IN6321,31/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,22,25718,IDR,206,"OGB & PH",CUST55410,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN5994 BRG0002",IN5994,01/02/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,12,28044,IDR,203,ETIKAL,CUST55411,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6146 BRG0003",IN6146,27/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,25,267250,IDR,210,MARCKS,CUST55412,"KLINIK GM",Jakarta,TA,Klinik
"IN6230 BRG0004",IN6230,28/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,14,121800,IDR,201,VNS,CUST55413,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN5991 BRG0005",IN5991,23/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,24,135552,IDR,203,SLCYL,CUST55414,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6281 BRG0006",IN6281,30/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,10,28190,IDR,205,"OGB & PH",CUST55415,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6226 BRG0007",IN6226,31/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,23,105616,IDR,206,ETIKAL,CUST55416,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6063 BRG0008",IN6063,01/02/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,12,47892,IDR,204,MARCKS,CUST55417,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6131 BRG0009",IN6131,27/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,10,57800,IDR,207,VNS,CUST55418,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6262 BRG0010",IN6262,28/01/2022,BRG0010,PARACETAMOL,"6940,3",DUS,67,464980,IDR,208,SLCYL,CUST55419,"KLINIK GM",Jakarta,TA,Klinik
"IN6028 BRG0001",IN6028,23/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,98,114562,IDR,206,"OGB & PH",CUST55420,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6163 BRG0002",IN6163,30/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,5,11685,IDR,203,ETIKAL,CUST55421,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6191 BRG0003",IN6191,31/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,4,42760,IDR,210,MARCKS,CUST55422,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6274 BRG0004",IN6274,01/02/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,8,69600,IDR,201,VNS,CUST55423,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6003 BRG0005",IN6003,27/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,9,50832,IDR,203,SLCYL,CUST55424,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6247 BRG0006",IN6247,28/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,10,28190,IDR,205,"OGB & PH",CUST55425,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6311 BRG0007",IN6311,23/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,7,32144,IDR,206,ETIKAL,CUST55426,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6248 BRG0008",IN6248,30/01/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,100,399100,IDR,204,MARCKS,CUST55427,"KLINIK GM",Jakarta,TA,Klinik
"IN6042 BRG0009",IN6042,31/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,67,387260,IDR,207,VNS,CUST55428,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6133 BRG0010",IN6133,01/02/2022,BRG0010,PARACETAMOL,"6940,3",DUS,78,541320,IDR,208,SLCYL,CUST55429,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6306 BRG0001",IN6306,27/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,45,52605,IDR,206,"OGB & PH",CUST55430,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6253 BRG0002",IN6253,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,34,79458,IDR,203,ETIKAL,CUST55431,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN5980 BRG0003",IN5980,23/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,20,213800,IDR,210,MARCKS,CUST55432,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6104 BRG0004",IN6104,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,45,391500,IDR,201,VNS,CUST55433,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6050 BRG0005",IN6050,31/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,34,192032,IDR,203,SLCYL,CUST55434,"KLINIK GM",Jakarta,TA,Klinik
"IN6054 BRG0006",IN6054,01/02/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,34,95846,IDR,205,"OGB & PH",CUST55435,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6219 BRG0001",IN6219,27/01/2022,BRG0001,"ACYCLOVIR DUS","4592,1",DUS,34,156128,IDR,206,"OGB & PH",CUST55436,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6053 BRG0002",IN6053,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","3991,9",DUS,44,175604,IDR,203,ETIKAL,CUST55437,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6217 BRG0003",IN6217,23/01/2022,BRG0003,AMPICILLIN,"5780,7",DUS,5,28900,IDR,210,MARCKS,CUST55438,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6323 BRG0004",IN6323,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","6940,3",DUS,6,41640,IDR,201,VNS,CUST55439,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6241 BRG0001",IN6241,31/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,79,92351,IDR,206,"OGB & PH",CUST55440,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6134 BRG0002",IN6134,01/02/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,12,28044,IDR,203,ETIKAL,CUST55441,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6124 BRG0003",IN6124,27/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,95,1015550,IDR,210,MARCKS,CUST55442,"KLINIK GM",Jakarta,TA,Klinik
"IN5981 BRG0004",IN5981,28/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,76,661200,IDR,201,VNS,CUST55443,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6220 BRG0005",IN6220,23/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,48,271104,IDR,203,SLCYL,CUST55444,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6122 BRG0006",IN6122,30/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,21,59199,IDR,205,"OGB & PH",CUST55445,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6255 BRG0007",IN6255,31/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,22,101024,IDR,206,ETIKAL,CUST55446,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6005 BRG0008",IN6005,01/02/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,12,47892,IDR,204,MARCKS,CUST55447,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6327 BRG0009",IN6327,27/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,25,144500,IDR,207,VNS,CUST55448,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6119 BRG0010",IN6119,28/01/2022,BRG0010,PARACETAMOL,"6940,3",DUS,14,97160,IDR,208,SLCYL,CUST55449,"KLINIK GM",Jakarta,TA,Klinik
"IN6233 BRG0001",IN6233,23/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,24,28056,IDR,206,"OGB & PH",CUST55450,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6235 BRG0002",IN6235,30/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,10,23370,IDR,203,ETIKAL,CUST55451,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6263 BRG0003",IN6263,31/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,130,1389700,IDR,210,MARCKS,CUST55452,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6269 BRG0004",IN6269,01/02/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,12,104400,IDR,201,VNS,CUST55453,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6188 BRG0005",IN6188,27/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,10,56480,IDR,203,SLCYL,CUST55454,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6116 BRG0006",IN6116,28/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,67,188873,IDR,205,"OGB & PH",CUST55455,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6216 BRG0007",IN6216,23/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,98,450016,IDR,206,ETIKAL,CUST55456,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6099 BRG0008",IN6099,30/01/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,5,19955,IDR,204,MARCKS,CUST55457,"KLINIK GM",Jakarta,TA,Klinik
"IN6326 BRG0009",IN6326,31/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,4,23120,IDR,207,VNS,CUST55458,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6267 BRG0010",IN6267,01/02/2022,BRG0010,PARACETAMOL,"6940,3",DUS,8,55520,IDR,208,SLCYL,CUST55459,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6238 BRG0001",IN6238,27/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,9,10521,IDR,206,"OGB & PH",CUST55460,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6214 BRG0002",IN6214,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,21,49077,IDR,203,ETIKAL,CUST55461,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6318 BRG0003",IN6318,23/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,22,235180,IDR,210,MARCKS,CUST55462,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6256 BRG0004",IN6256,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,12,104400,IDR,201,VNS,CUST55463,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6048 BRG0005",IN6048,31/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,25,141200,IDR,203,SLCYL,CUST55464,"KLINIK GM",Jakarta,TA,Klinik
"IN6120 BRG0006",IN6120,01/02/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,14,39466,IDR,205,"OGB & PH",CUST55465,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6161 BRG0001",IN6161,27/01/2022,BRG0001,"ACYCLOVIR DUS","4592,1",DUS,24,110208,IDR,206,"OGB & PH",CUST55466,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6292 BRG0002",IN6292,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","3991,9",DUS,10,39910,IDR,203,ETIKAL,CUST55467,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6286 BRG0003",IN6286,23/01/2022,BRG0003,AMPICILLIN,"5780,7",DUS,120,693600,IDR,210,MARCKS,CUST55468,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6008 BRG0004",IN6008,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","6940,3",DUS,12,83280,IDR,201,VNS,CUST55469,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6040 BRG0001",IN6040,31/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,10,11690,IDR,206,"OGB & PH",CUST55470,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6084 BRG0002",IN6084,01/02/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,67,156579,IDR,203,ETIKAL,CUST55471,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6074 BRG0003",IN6074,27/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,98,1047620,IDR,210,MARCKS,CUST55472,"KLINIK GM",Jakarta,TA,Klinik
"IN6200 BRG0004",IN6200,28/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,5,43500,IDR,201,VNS,CUST55473,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6065 BRG0005",IN6065,23/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,4,22592,IDR,203,SLCYL,CUST55474,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6208 BRG0006",IN6208,30/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,8,22552,IDR,205,"OGB & PH",CUST55475,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6148 BRG0007",IN6148,31/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,9,41328,IDR,206,ETIKAL,CUST55476,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6072 BRG0008",IN6072,01/02/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,1,3991,IDR,204,MARCKS,CUST55477,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6095 BRG0009",IN6095,27/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,5,28900,IDR,207,VNS,CUST55478,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6049 BRG0010",IN6049,28/01/2022,BRG0010,PARACETAMOL,"6940,3",DUS,9,62460,IDR,208,SLCYL,CUST55479,"KLINIK GM",Jakarta,TA,Klinik
"IN6039 BRG0001",IN6039,23/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,13,15197,IDR,206,"OGB & PH",CUST55480,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6276 BRG0002",IN6276,30/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,1,2337,IDR,203,ETIKAL,CUST55481,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6015 BRG0003",IN6015,31/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,5,53450,IDR,210,MARCKS,CUST55482,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6185 BRG0004",IN6185,01/02/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,9,78300,IDR,201,VNS,CUST55483,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6258 BRG0005",IN6258,27/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,1,5648,IDR,203,SLCYL,CUST55484,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6070 BRG0006",IN6070,28/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,23,64837,IDR,205,"OGB & PH",CUST55485,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6210 BRG0007",IN6210,23/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,4,18368,IDR,206,ETIKAL,CUST55486,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6083 BRG0008",IN6083,30/01/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,2,7982,IDR,204,MARCKS,CUST55487,"KLINIK GM",Jakarta,TA,Klinik
"IN6322 BRG0009",IN6322,31/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,17,98260,IDR,207,VNS,CUST55488,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6291 BRG0010",IN6291,01/02/2022,BRG0010,PARACETAMOL,"6940,3",DUS,11,76340,IDR,208,SLCYL,CUST55489,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6062 BRG0001",IN6062,27/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,12,14028,IDR,206,"OGB & PH",CUST55490,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6167 BRG0002",IN6167,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,12,28044,IDR,203,ETIKAL,CUST55491,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6289 BRG0003",IN6289,23/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,25,267250,IDR,210,MARCKS,CUST55492,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6305 BRG0004",IN6305,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,14,121800,IDR,201,VNS,CUST55493,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6079 BRG0005",IN6079,31/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,34,192032,IDR,203,SLCYL,CUST55494,"KLINIK GM",Jakarta,TA,Klinik
